Instruction, Times Executed
ADD, 4544
SUB, 0
FADD, 0
FSUB, 0
FMUL, 0
FDIV, 0
FSQRT, 0
FNEG, 0
FABS, 0
FLOOR, 0
FEQ, 0
FLT, 0
FLE, 0
ITOF, 0
FTOI, 0
ADDI, 738
SLLI, 0
SRAI, 0
LW, 176
LUI, 2
BEQ, 0
BNE, 0
BLT, 190
BGE, 0
BNEI, 0
SW, 179
JUMP, 11
JUMPR, 0
CALL, 178
CALLR, 0
RET, 178
(FSIN), 0
(FCOS), 0
(ATAN), 0
,
Address, Instruction, Times Executed, Branch Taken Times, Branch Untaken Times
852, " nop", , ,
853, " nop", , ,
854, " ", , ,
855, "nop", 0, N/A, N/A
856, " 	addi.float f1, f1, -1.000000", , ,
857, " nop", , ,
858, " 	sw f0, 0(a0)", , ,
859, " ", , ,
860, "nop", 0, 0, 0
861, " nop", , ,
862, " nop", , ,
863, " 	sw f1, 4(a0)", , ,
864, " ", , ,
865, "	ret", 0, N/A, N/A
866, " nop", , ,
867, " nop", , ,
868, " nop", , ,
869, " ", , ,
870, "fble_else.319:", , ,
871, "	add a0, hp, zero", 0, N/A, N/A
872, " 	lui.float f1, 3.141593", , ,
873, " nop", , ,
874, " nop", , ,
875, " ", , ,
876, "	addi.float f1, f1, 3.141593", 0, N/A, N/A
877, " 	addi hp, hp, 8", , ,
878, " nop", , ,
879, " nop", , ,
880, " ", , ,
881, "	lui.float f1, -1.000000", 0, N/A, N/A
882, " 	fsub f0, f1, f0", , ,
883, " nop", , ,
884, " nop", , ,
885, " ", , ,
886, "nop", 0, N/A, N/A
887, " 	addi.float f1, f1, -1.000000", , ,
888, " nop", , ,
889, " 	sw f0, 0(a0)", , ,
890, " ", , ,
891, "nop", 0, N/A, N/A
892, " nop", , ,
893, " nop", , ,
894, " 	sw f1, 4(a0)", , ,
895, " ", , ,
896, "	ret", 0, N/A, N/A
897, " nop", , ,
898, " nop", , ,
899, " nop", , ,
900, " ", , ,
901, "fble_else.318:", , ,
902, "	add a0, hp, zero", 0, N/A, N/A
903, " 	lui.float f1, 1.000000", , ,
904, " nop", , ,
905, " nop", , ,
906, " ", , ,
907, "	addi.float f1, f1, 1.000000", 0, N/A, N/A
